,NAME,Year,Units in All Multi-Family Structures,Units in Multi-Family Structures,Units in Single-Family Structures
0,"Adams city, Tennessee",1980,,0,0
1,"Adams city, Tennessee",1981,,0,0
2,"Adams city, Tennessee",1982,,0,0
3,"Adams city, Tennessee",1983,,0,0
4,"Adams city, Tennessee",1984,,0,0
5,"Adams city, Tennessee",1985,,0,0
6,"Adams city, Tennessee",1986,,0,0
7,"Adams city, Tennessee",1987,,0,0
8,"Adams city, Tennessee",1988,,0,0
9,"Adams city, Tennessee",1989,,0,0
10,"Adams city, Tennessee",1990,,0,3
11,"Adams city, Tennessee",1991,,0,3
12,"Adams city, Tennessee",1992,,0,3
13,"Adams city, Tennessee",1993,,0,1
14,"Adams city, Tennessee",1994,,0,3
15,"Adams city, Tennessee",1995,,0,1
16,"Adams city, Tennessee",1996,,0,0
17,"Adams city, Tennessee",1997,,0,0
18,"Adams city, Tennessee",1998,,0,0
19,"Adams city, Tennessee",1999,,0,0
20,"Adams city, Tennessee",2000,,0,0
21,"Adams city, Tennessee",2001,,0,0
22,"Adams city, Tennessee",2002,,0,0
23,"Adams city, Tennessee",2003,,0,0
24,"Adams city, Tennessee",2004,,0,0
25,"Adams city, Tennessee",2005,,0,0
26,"Adams city, Tennessee",2006,,0,0
27,"Adams city, Tennessee",2007,,0,0
28,"Adams city, Tennessee",2008,,0,0
29,"Adams city, Tennessee",2009,,0,0
30,"Adams city, Tennessee",2010,,0,0
31,"Adams city, Tennessee",2011,,0,0
32,"Adams city, Tennessee",2012,,0,0
33,"Adams city, Tennessee",2013,,0,0
34,"Adams city, Tennessee",2014,,0,0
35,"Adams city, Tennessee",2015,,0,0
36,"Adams city, Tennessee",2016,,0,0
37,"Adams city, Tennessee",2017,,0,0
38,"Adams city, Tennessee",2018,,0,0
39,"Adams city, Tennessee",2019,,0,0
40,"Adams city, Tennessee",2020,,0,0
41,"Adams city, Tennessee",2021,,0,0
42,"Adams city, Tennessee",2022,0,,0
43,"Adams city, Tennessee",2023,0,,0
44,"Ashland City town, Tennessee",1980,,0,0
45,"Ashland City town, Tennessee",1981,,0,0
46,"Ashland City town, Tennessee",1982,,0,0
47,"Ashland City town, Tennessee",1983,,0,0
48,"Ashland City town, Tennessee",1984,,0,0
49,"Ashland City town, Tennessee",1985,,0,0
50,"Ashland City town, Tennessee",1986,,0,0
51,"Ashland City town, Tennessee",1987,,0,0
52,"Ashland City town, Tennessee",1988,,0,0
53,"Ashland City town, Tennessee",1989,,0,0
54,"Ashland City town, Tennessee",1990,,8,76
55,"Ashland City town, Tennessee",1991,,3,48
56,"Ashland City town, Tennessee",1992,,12,11
57,"Ashland City town, Tennessee",1993,,0,6
58,"Ashland City town, Tennessee",1994,,0,18
59,"Ashland City town, Tennessee",1995,,8,22
60,"Ashland City town, Tennessee",1996,,7,18
61,"Ashland City town, Tennessee",1997,,7,14
62,"Ashland City town, Tennessee",1998,,73,15
63,"Ashland City town, Tennessee",1999,,134,2
64,"Ashland City town, Tennessee",2000,,40,35
65,"Ashland City town, Tennessee",2001,,68,29
66,"Ashland City town, Tennessee",2002,,70,31
67,"Ashland City town, Tennessee",2003,,96,19
68,"Ashland City town, Tennessee",2004,,48,24
69,"Ashland City town, Tennessee",2005,,10,6
70,"Ashland City town, Tennessee",2006,,0,26
71,"Ashland City town, Tennessee",2007,,0,36
72,"Ashland City town, Tennessee",2008,,0,14
73,"Ashland City town, Tennessee",2009,,216,6
74,"Ashland City town, Tennessee",2010,,0,3
75,"Ashland City town, Tennessee",2011,,0,0
76,"Ashland City town, Tennessee",2012,,0,0
77,"Ashland City town, Tennessee",2013,,0,2
78,"Ashland City town, Tennessee",2014,,0,4
79,"Ashland City town, Tennessee",2015,,0,7
80,"Ashland City town, Tennessee",2016,,0,25
81,"Ashland City town, Tennessee",2017,,0,63
82,"Ashland City town, Tennessee",2018,,0,50
83,"Ashland City town, Tennessee",2019,,0,24
84,"Ashland City town, Tennessee",2020,,7,16
85,"Ashland City town, Tennessee",2021,,147,46
86,"Ashland City town, Tennessee",2022,0,,57
87,"Ashland City town, Tennessee",2023,63,,10
88,"Belle Meade city, Tennessee",1980,,0,0
89,"Belle Meade city, Tennessee",1981,,0,0
90,"Belle Meade city, Tennessee",1982,,0,7
91,"Belle Meade city, Tennessee",1983,,22,10
92,"Belle Meade city, Tennessee",1984,,10,10
93,"Belle Meade city, Tennessee",1985,,0,9
94,"Belle Meade city, Tennessee",1986,,0,12
95,"Belle Meade city, Tennessee",1987,,0,10
96,"Belle Meade city, Tennessee",1988,,0,6
97,"Belle Meade city, Tennessee",1989,,0,9
98,"Belle Meade city, Tennessee",1990,,0,9
99,"Belle Meade city, Tennessee",1991,,0,2
100,"Belle Meade city, Tennessee",1992,,0,3
101,"Belle Meade city, Tennessee",1993,,0,8
102,"Belle Meade city, Tennessee",1994,,0,7
103,"Belle Meade city, Tennessee",1995,,4,8
104,"Belle Meade city, Tennessee",1996,,0,3
105,"Belle Meade city, Tennessee",1997,,0,13
106,"Belle Meade city, Tennessee",1998,,0,5
107,"Belle Meade city, Tennessee",1999,,0,10
108,"Belle Meade city, Tennessee",2000,,0,4
109,"Belle Meade city, Tennessee",2001,,0,9
110,"Belle Meade city, Tennessee",2002,,0,16
111,"Belle Meade city, Tennessee",2003,,0,11
112,"Belle Meade city, Tennessee",2004,,0,10
113,"Belle Meade city, Tennessee",2005,,0,8
114,"Belle Meade city, Tennessee",2006,,0,7
115,"Belle Meade city, Tennessee",2007,,0,8
116,"Belle Meade city, Tennessee",2008,,0,6
117,"Belle Meade city, Tennessee",2009,,0,5
118,"Belle Meade city, Tennessee",2010,,0,2
119,"Belle Meade city, Tennessee",2011,,0,0
120,"Belle Meade city, Tennessee",2012,,0,0
121,"Belle Meade city, Tennessee",2013,,0,8
122,"Belle Meade city, Tennessee",2014,,0,4
123,"Belle Meade city, Tennessee",2015,,0,13
124,"Belle Meade city, Tennessee",2016,,0,7
125,"Belle Meade city, Tennessee",2017,,0,9
126,"Belle Meade city, Tennessee",2018,,0,11
127,"Belle Meade city, Tennessee",2019,,0,7
128,"Belle Meade city, Tennessee",2020,,0,6
129,"Belle Meade city, Tennessee",2021,,0,14
130,"Belle Meade city, Tennessee",2022,0,,9
131,"Belle Meade city, Tennessee",2023,0,,4
132,"Berry Hill city, Tennessee",1980,,0,0
133,"Berry Hill city, Tennessee",1981,,0,0
134,"Berry Hill city, Tennessee",1982,,0,0
135,"Berry Hill city, Tennessee",1983,,0,0
136,"Berry Hill city, Tennessee",1984,,0,0
137,"Berry Hill city, Tennessee",1985,,0,1
138,"Berry Hill city, Tennessee",1986,,0,0
139,"Berry Hill city, Tennessee",1987,,0,0
140,"Berry Hill city, Tennessee",1988,,0,0
141,"Berry Hill city, Tennessee",1989,,0,0
142,"Berry Hill city, Tennessee",1990,,0,0
143,"Berry Hill city, Tennessee",1991,,0,0
144,"Berry Hill city, Tennessee",1992,,0,0
145,"Berry Hill city, Tennessee",1993,,0,0
146,"Berry Hill city, Tennessee",1994,,0,0
147,"Berry Hill city, Tennessee",1995,,0,0
148,"Berry Hill city, Tennessee",1996,,0,0
149,"Berry Hill city, Tennessee",1997,,0,0
150,"Berry Hill city, Tennessee",1998,,0,8
151,"Berry Hill city, Tennessee",1999,,0,29
152,"Berry Hill city, Tennessee",2000,,0,5
153,"Berry Hill city, Tennessee",2001,,0,0
154,"Berry Hill city, Tennessee",2002,,0,0
155,"Berry Hill city, Tennessee",2003,,0,0
156,"Berry Hill city, Tennessee",2004,,0,0
157,"Berry Hill city, Tennessee",2005,,0,0
158,"Berry Hill city, Tennessee",2006,,0,0
159,"Berry Hill city, Tennessee",2007,,0,43
160,"Berry Hill city, Tennessee",2008,,0,1
161,"Berry Hill city, Tennessee",2009,,0,0
162,"Berry Hill city, Tennessee",2010,,0,0
163,"Berry Hill city, Tennessee",2011,,0,0
164,"Berry Hill city, Tennessee",2012,,0,0
165,"Berry Hill city, Tennessee",2013,,0,0
166,"Berry Hill city, Tennessee",2014,,0,0
167,"Berry Hill city, Tennessee",2015,,0,0
168,"Berry Hill city, Tennessee",2016,,0,0
169,"Berry Hill city, Tennessee",2017,,0,0
170,"Berry Hill city, Tennessee",2018,,0,0
171,"Berry Hill city, Tennessee",2019,,0,0
172,"Berry Hill city, Tennessee",2020,,0,0
173,"Berry Hill city, Tennessee",2021,,0,0
174,"Berry Hill city, Tennessee",2022,0,,0
175,"Berry Hill city, Tennessee",2023,0,,5
176,"Brentwood city, Tennessee",1980,,0,68
177,"Brentwood city, Tennessee",1981,,0,54
178,"Brentwood city, Tennessee",1982,,0,85
179,"Brentwood city, Tennessee",1983,,0,370
180,"Brentwood city, Tennessee",1984,,0,218
181,"Brentwood city, Tennessee",1985,,0,449
182,"Brentwood city, Tennessee",1986,,0,328
183,"Brentwood city, Tennessee",1987,,0,250
184,"Brentwood city, Tennessee",1988,,0,259
185,"Brentwood city, Tennessee",1989,,0,228
186,"Brentwood city, Tennessee",1990,,0,160
187,"Brentwood city, Tennessee",1991,,0,153
188,"Brentwood city, Tennessee",1992,,0,282
189,"Brentwood city, Tennessee",1993,,0,351
190,"Brentwood city, Tennessee",1994,,0,317
191,"Brentwood city, Tennessee",1995,,0,261
192,"Brentwood city, Tennessee",1996,,0,276
193,"Brentwood city, Tennessee",1997,,0,186
194,"Brentwood city, Tennessee",1998,,0,212
195,"Brentwood city, Tennessee",1999,,0,198
196,"Brentwood city, Tennessee",2000,,0,171
197,"Brentwood city, Tennessee",2001,,0,257
198,"Brentwood city, Tennessee",2002,,0,458
199,"Brentwood city, Tennessee",2003,,0,605
200,"Brentwood city, Tennessee",2004,,0,633
201,"Brentwood city, Tennessee",2005,,0,458
202,"Brentwood city, Tennessee",2006,,0,502
203,"Brentwood city, Tennessee",2007,,0,294
204,"Brentwood city, Tennessee",2008,,0,104
205,"Brentwood city, Tennessee",2009,,0,65
206,"Brentwood city, Tennessee",2010,,0,137
207,"Brentwood city, Tennessee",2011,,0,232
208,"Brentwood city, Tennessee",2012,,0,253
209,"Brentwood city, Tennessee",2013,,0,225
210,"Brentwood city, Tennessee",2014,,0,251
211,"Brentwood city, Tennessee",2015,,0,240
212,"Brentwood city, Tennessee",2016,,0,175
213,"Brentwood city, Tennessee",2017,,0,185
214,"Brentwood city, Tennessee",2018,,0,139
215,"Brentwood city, Tennessee",2019,,0,109
216,"Brentwood city, Tennessee",2020,,0,141
217,"Brentwood city, Tennessee",2021,,0,147
218,"Brentwood city, Tennessee",2022,0,,83
219,"Brentwood city, Tennessee",2023,0,,104
220,"Burns town, Tennessee",1980,,0,0
221,"Burns town, Tennessee",1981,,0,0
222,"Burns town, Tennessee",1982,,0,0
223,"Burns town, Tennessee",1983,,0,0
224,"Burns town, Tennessee",1984,,0,0
225,"Burns town, Tennessee",1985,,0,0
226,"Burns town, Tennessee",1986,,0,0
227,"Burns town, Tennessee",1987,,0,0
228,"Burns town, Tennessee",1988,,0,0
229,"Burns town, Tennessee",1989,,0,0
230,"Burns town, Tennessee",1990,,0,1
231,"Burns town, Tennessee",1991,,0,0
232,"Burns town, Tennessee",1992,,0,7
233,"Burns town, Tennessee",1993,,0,7
234,"Burns town, Tennessee",1994,,0,10
235,"Burns town, Tennessee",1995,,0,3
236,"Burns town, Tennessee",1996,,0,4
237,"Burns town, Tennessee",1997,,2,6
238,"Burns town, Tennessee",1998,,2,5
239,"Burns town, Tennessee",1999,,4,9
240,"Burns town, Tennessee",2000,,4,8
241,"Burns town, Tennessee",2001,,0,9
242,"Burns town, Tennessee",2002,,0,6
243,"Burns town, Tennessee",2003,,0,1
244,"Burns town, Tennessee",2004,,0,2
245,"Burns town, Tennessee",2005,,0,1
246,"Burns town, Tennessee",2006,,0,0
247,"Burns town, Tennessee",2007,,0,0
248,"Burns town, Tennessee",2008,,0,2
249,"Burns town, Tennessee",2009,,0,1
250,"Burns town, Tennessee",2010,,0,0
251,"Burns town, Tennessee",2011,,0,0
